"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DEVIJSI3","webpage","2020","日本社会学会","社会学評論スタイルガイド","日本社会学会ホームページ","","","","https://jss-sociology.org/bulletin/guide/","","2020","2020-07-20 10:52:24","2020-07-20 10:58:01","2020-07-20 10:52:24","","","","","","","","","","","","","","ja","","","","","","","citation key: nissya2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSEN6BLG","book","2017","朴, 沙羅","外国人をつくりだす : 戦後日本における「密航」と入国管理制度の運用","","","","","https://ci.nii.ac.jp/ncid/BB24148506","外国人をつくりだす : 戦後日本における「密航」と入国管理制度の運用 = Embracing alien 朴沙羅著 ナカニシヤ出版, 2017.7","2017","2020-07-20 11:00:31","2020-07-20 15:44:53","2020-07-20 11:00:31","","","","","","","外国人をつくりだす","","","","","ナカニシヤ出版","","ja","","","","","ci.nii.ac.jp","","citation key: paku2017a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKNADQVS","newspaperArticle","2020","Margolis, Eric","The Fall of ‘Terrace House’","The New York Times","","0362-4331","","https://www.nytimes.com/2020/07/17/arts/television/terrace-house-suicide.html","Japan’s heartwarming reality TV hit ended in tragedy when the participant Hana Kimura killed herself after a wave of online abuse. But “Terrace House” was always more complicated than it appeared.","2020-07-17","2020-07-20 11:13:29","2020-07-20 11:13:29","2020-07-20 11:13:29","","","","","","","","","","","","","","en-US","","","","","NYTimes.com","","","","","","","Cyberharassment; Fuji Television Network Inc; Japan; Kimura, Hana (1997-2020); Kimura, Kyoko (1977- ); Netflix Inc; Reality Television; Suicides and Suicide Attempts; Television; Terrace House (TV Program)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Arts","","","",""
"TKT4FUNL","journalArticle","2013","Killewald, Alexandra","A Reconsideration of the Fatherhood Premium: Marriage, Coresidence, Biology, and Fathers’ Wages","American Sociological Review","","0003-1224","10.1177/0003122412469204","https://doi.org/10.1177/0003122412469204","Past research that asserts a fatherhood wage premium often ignores the heterogeneity of fathering contexts. I expect fatherhood to produce wage gains for men if it prompts them to alter their behavior in ways that increase labor-market productivity. Identity theory predicts a larger productivity-based fatherhood premium when ties of biology, coresidence with the child, and marriage to the child’s mother reinforce one another, making fatherhood, and the role of financial provider in particular, salient, high in commitment, and clear. Employer discrimination against fathers in less normative family structures may also contribute to variation in the fatherhood premium. Using fixed-effects models and data from the 1979 cohort of the National Longitudinal Survey of Youth (NLSY79), I find that married, residential, biological fatherhood is associated with wage gains of about 4 percent, but unmarried residential fathers, nonresidential fathers, and stepfathers do not receive a fatherhood premium. Married residential fathers also receive no statistically significant wage premium when their wives work full-time. About 15 percent of the wage premium for married residential fathers can be explained by changes in human capital and job traits.","2013-02","2020-07-20 11:28:41","2020-07-20 11:28:41","2020-07-20 11:28:41","96-116","","1","78","","Am Sociol Rev","A Reconsideration of the Fatherhood Premium","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXT9ZBSP","journalArticle","2016","Killewald, Alexandra","Money, Work, and Marital Stability: Assessing Change in the Gendered Determinants of Divorce","American Sociological Review","","0003-1224","10.1177/0003122416655340","https://doi.org/10.1177/0003122416655340","Despite a large literature investigating how spouses’ earnings and division of labor relate to their risk of divorce, findings remain mixed and conclusions elusive. Core unresolved questions are (1) whether marital stability is primarily associated with the economic gains to marriage or with the gendered lens through which spouses’ earnings and employment are interpreted and (2) whether the determinants of marital stability have changed over time. Using data from the 1968 to 2013 waves of the Panel Study of Income Dynamics, I consider how spouses’ division of labor, their overall financial resources, and a wife’s ability to support herself in the event of divorce are associated with the risk of divorce, and how these associations have changed between couples married before and after 1975. Financial considerations—wives’ economic independence and total household income—are not predictive of divorce in either cohort. Time use, however, is associated with divorce risk in both cohorts. For marriages formed after 1975, husbands’ lack of full-time employment is associated with higher risk of divorce, but neither wives’ full-time employment nor wives’ share of household labor is associated with divorce risk. Expectations of wives’ homemaking may have eroded, but the husband breadwinner norm persists.","2016-08","2020-07-20 11:29:14","2020-07-20 11:29:14","2020-07-20 11:29:14","696-719","","4","81","","Am Sociol Rev","Money, Work, and Marital Stability","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5IVFGY6V","book","2017","Zelizer, Viviana A.","The Social Meaning of Money: Pin Money, Paychecks, Poor Relief, and Other Currencies","","978-0-691-17603-1","","","","A dollar is a dollar—or so most of us believe. Indeed, it is part of the ideology of our time that money is a single, impersonal instrument that impoverishes social life by reducing relations to cold, hard cash. After all, it's just money. Or is it? Distinguished social scientist and prize-winning author Viviana Zelizer argues against this conventional wisdom. She shows how people have invented their own forms of currency, earmarking money in ways that baffle market theorists, incorporating funds into webs of friendship and family relations, and otherwise varying the process by which spending and saving takes place. Zelizer concentrates on domestic transactions, bestowals of gifts and charitable donations in order to show how individuals, families, governments, and businesses have all prescribed social meaning to money in ways previously unimagined.","2017-05-09","2020-07-20 11:30:26","2020-07-20 11:32:01","","","316","","","","","The Social Meaning of Money","","","","","Princeton University Press","Princeton","en","","","","","","","Google-Books-ID: WRCnDwAAQBAJ","","","","","Business & Economics / Economics / General; Business & Economics / Money & Monetary Policy; Social Science / Sociology / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SB4HH45B","journalArticle","2000","Zelizer, Viviana A.","The Purchase of Intimacy","Law & Social Inquiry","","0897-6546, 1747-4469","10.1111/j.1747-4469.2000.tb00162.x","https://www.cambridge.org/core/journals/law-and-social-inquiry/article/purchase-of-intimacy/7019D5CD732BD97CFB2F7D88F5258E84","Students of the intersection between monetary transfers and intimate social relations face a choice among three ways of analyzing that relationship: as hostile worlds whose contact contaminates one or the other; as nothing but market transactions, cultural constructions, or coercion; or as differentiated ties, each marked by a distinctive set of monetary transfers. A review of payment practices, legal disputes, and recent legal theory illustrates the weakness of the first two views and the desirability of further pursuing the third alternative.","2000","2020-07-20 11:30:38","2020-07-20 11:30:38","2020-07-20 11:30:38","817-848","","3","25","","","","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPFDS2IC","journalArticle","1989","Zelizer, Viviana A.","The Social Meaning of Money: ""Special Monies""","American Journal of Sociology","","0002-9602","10.1086/229272","https://www.journals.uchicago.edu/doi/abs/10.1086/229272","Classic interpretations of the development of the modern world portray money as a key instrument in the rationalization of social life. Money is reductively defined as the ultimate objectifier, homogenizing all qualitative distrinctions into an abstract quantity. This paper shows the limits of such a purely utilitarian conception of ""market money."" A model of ""special monies"" is proposed to examine the extraeconomic, social basis of modern money. The article argues that, while money does indeed transform items, values, and sentiments into numerical cash equivalents, money itself is shaped in the process. Culture and social structure mark the quality of money by institutionalizing controls, restrictions, and districtions in the sources, uses, modes of allocation, and even the quantity of money. The changing social meaning and structure of domestic money, specifically married women's money in the United States, 1870-1930, are examined as an empirical case study of a special money.","1989-09","2020-07-20 12:25:31","2020-07-20 12:25:31","2020-07-20 12:25:31","342-377","","2","95","","American Journal of Sociology","The Social Meaning of Money","","","","","","","","","","","","journals.uchicago.edu (Atypon)","","Publisher: The University of Chicago Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WWR53QM2","newspaperArticle","2020","田原, 和宏","延期の東京オリンピック　私が来夏開催してほしいと言えない理由","毎日新聞","","","","https://mainichi.jp/articles/20200717/k00/00m/050/125000c","","2020-07-17","2020-07-20 12:43:50","2020-07-20 12:45:13","2020-07-20 12:43:50","","","","","","","","","","","","","","ja","","","","","Mainichi Daily News","","citation key: tahara2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","スポーツ, 総合","","","",""
"2L4FVLEB","journalArticle","2017","朴, 沙羅","入国管理体制と「外国人」概念 : 「日本型排外主義」再考","ソシオロジ","","0584-1380","","","","2017-10","2020-07-20 15:43:58","2020-07-20 15:44:44","","3-20","","2","62","","","入国管理体制と「外国人」概念","","","","","","","ja","","","","","CiNii","","citation key: paku2017b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75ML6ALB","journalArticle","2017","Imai, Kosuke","Using a Probabilistic Model to Assist Merging of Large-scale Administrative Records","","","","","","","2017","2020-07-20 17:05:44","2020-07-20 17:06:45","","31","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/kei/Zotero/storage/UKYHDDUM/Harvard17.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
